mese,tipo_giorno,fascia_oraria,categoria,oltre_5,info_mancante,oltre_30,corse_osservate,cancellate,effettuate,in_ritardo,in_orario,in_anticipo,oltre_60,parzialmente_cancellate,minuti_netti_tot,soppresse,cancellate_tot,minuti_anticipo_tot,oltre_10,minuti_ritardo_tot,oltre_15,ritardo_mediano,p90,p95,ritardo_medio
2024-06,infrasettimanale,mattina,EC,6,0,1,27,0,27,6,6,15,1,0,152.0,0,0,75.0,3,227.0,2,-3.0,9.400000000000002,14.199999999999996,5.62962962962963
2024-06,infrasettimanale,mattina,IC,190,0,47,382,0,382,190,126,66,17,0,4345.0,0,0,321.0,122,4666.0,84,4.0,36.0,54.89999999999998,11.37434554973822
2024-06,infrasettimanale,mattina,ICN,1,0,1,7,0,7,1,0,6,1,0,-23.0,0,0,90.0,1,67.0,1,-14.0,26.200000000000024,46.59999999999995,-3.2857142857142856
2024-06,infrasettimanale,mattina,MET,31,0,4,645,0,645,31,277,327,2,0,286.0,0,0,651.0,16,937.0,13,-1.0,3.0,4.0,0.4503937007874016
2024-06,infrasettimanale,mattina,NCL,0,0,0,2,0,2,0,0,1,0,0,-7.0,0,0,7.0,0,0.0,0,-7.0,-7.0,-7.0,-7.0
2024-06,infrasettimanale,mattina,REG,3745,0,232,24062,0,24062,3745,11270,8939,52,0,40760.0,0,0,22274.0,1330,63034.0,732,1.0,6.0,10.0,1.701594723219504
2024-06,infrasettimanale,mattina,,1180,0,270,2304,0,2304,1180,572,552,100,0,26910.0,0,0,2178.0,776,29088.0,530,5.0,35.90000000000009,57.0,11.6796875
2024-06,infrasettimanale,notte,EN,13,0,9,15,0,15,13,0,2,3,0,916.0,0,0,7.0,13,923.0,13,38.0,127.99999999999996,207.39999999999984,61.06666666666667
2024-06,infrasettimanale,notte,EXP,0,0,0,1,0,1,0,0,1,0,0,-6.0,0,0,6.0,0,0.0,0,-6.0,-6.0,-6.0,-6.0
2024-06,infrasettimanale,notte,IC,92,0,20,208,0,208,92,52,64,5,0,1627.0,0,0,282.0,68,1909.0,39,3.0,26.600000000000023,34.64999999999998,7.822115384615385
2024-06,infrasettimanale,notte,ICN,3,0,1,21,0,21,3,8,10,1,0,-18.0,0,0,117.0,1,99.0,1,0.0,5.0,7.0,-0.8571428571428571
2024-06,infrasettimanale,notte,MET,9,0,0,243,0,243,9,77,148,0,0,-148.0,0,0,338.0,5,190.0,1,-1.0,3.0,4.0,-0.6324786324786325
2024-06,infrasettimanale,notte,NCL,0,0,0,2,0,2,0,0,2,0,0,-47.0,0,0,47.0,0,0.0,0,-23.5,-23.1,-23.05,-23.5
2024-06,infrasettimanale,notte,REG,1313,0,101,9852,0,9852,1313,4085,4409,21,0,11732.0,0,0,11337.0,493,23069.0,282,0.0,6.0,10.0,1.1962883654532477
2024-06,infrasettimanale,notte,,290,0,54,782,0,782,290,222,268,16,0,4858.0,0,0,1106.0,180,5964.0,110,2.0,19.200000000000045,36.0,6.228205128205128
2024-06,infrasettimanale,pomeriggio,EC,65,0,15,104,0,104,65,24,15,4,0,1371.0,0,0,32.0,43,1403.0,25,7.0,35.400000000000006,47.7,13.182692307692308
2024-06,infrasettimanale,pomeriggio,EN,5,0,1,6,0,6,5,1,0,1,0,107.0,0,0,0.0,2,107.0,1,9.0,38.5,51.25,17.833333333333332
2024-06,infrasettimanale,pomeriggio,EXP,1,0,0,2,0,2,1,1,0,0,0,8.0,0,0,0.0,0,8.0,0,4.0,7.2,7.6,4.0
2024-06,infrasettimanale,pomeriggio,IC,203,0,48,336,0,336,203,74,59,16,0,4695.0,0,0,194.0,140,4889.0,105,7.0,39.0,56.0,13.973214285714286
2024-06,infrasettimanale,pomeriggio,ICN,0,0,0,1,0,1,0,0,1,0,0,-6.0,0,0,6.0,0,0.0,0,-6.0,-6.0,-6.0,-6.0
2024-06,infrasettimanale,pomeriggio,MET,75,0,4,810,0,810,75,316,409,0,0,497.0,0,0,788.0,31,1285.0,18,-1.0,4.0,7.0,0.62125
2024-06,infrasettimanale,pomeriggio,REG,5761,0,438,28998,0,28998,5761,12936,10129,87,0,70455.0,0,0,25953.0,2394,96408.0,1368,1.0,8.0,14.0,2.444147644487616
2024-06,infrasettimanale,pomeriggio,,1160,0,340,1974,0,1974,1160,462,350,148,0,31536.0,0,0,1312.0,812,32848.0,618,7.0,49.0,73.75,15.991886409736308
2024-06,infrasettimanale,sera,EC,30,0,7,41,0,41,30,7,4,1,0,552.0,0,0,9.0,17,561.0,11,8.0,33.0,43.0,13.46341463414634
2024-06,infrasettimanale,sera,EN,1,0,1,1,0,1,1,0,0,0,0,32.0,0,0,0.0,1,32.0,1,32.0,32.0,32.0,32.0
2024-06,infrasettimanale,sera,EXP,3,0,1,5,0,5,3,1,1,1,0,223.0,0,0,1.0,3,224.0,2,14.0,120.20000000000002,154.59999999999997,44.6
2024-06,infrasettimanale,sera,IC,99,0,27,195,0,195,99,46,50,13,0,2655.0,0,0,169.0,61,2824.0,40,5.0,39.0,66.19999999999976,13.61538461538462
2024-06,infrasettimanale,sera,ICN,79,0,18,158,0,158,79,39,40,6,0,1745.0,0,0,201.0,54,1946.0,40,4.5,30.600000000000023,54.600000000000016,11.044303797468354
2024-06,infrasettimanale,sera,MET,77,0,3,786,0,786,77,362,343,0,0,812.0,0,0,711.0,47,1523.0,25,0.0,4.0,11.0,1.0383631713554988
2024-06,infrasettimanale,sera,REG,4803,0,435,23317,0,23317,4803,9718,8656,91,0,59270.0,0,0,23432.0,2133,82702.0,1263,1.0,9.0,16.0,2.5572766104327567
2024-06,infrasettimanale,sera,,382,0,66,772,0,772,382,204,182,14,0,6832.0,0,0,706.0,234,7538.0,154,4.0,27.0,38.69999999999993,8.895833333333334
2024-06,infrasettimanale,tarda_mattina,EC,54,0,11,109,0,109,54,27,27,6,0,1476.0,0,0,113.0,35,1589.0,22,4.5,25.799999999999983,73.04999999999968,13.666666666666666
2024-06,infrasettimanale,tarda_mattina,EXP,2,0,1,4,0,4,2,0,2,1,0,225.0,0,0,7.0,1,232.0,1,3.0,158.80000000000004,190.89999999999992,56.25
2024-06,infrasettimanale,tarda_mattina,IC,168,0,50,363,0,363,168,79,114,16,0,4591.0,0,0,547.0,117,5138.0,96,4.0,37.0,53.0,12.717451523545709
2024-06,infrasettimanale,tarda_mattina,ICN,16,0,3,31,0,31,16,6,9,1,0,346.0,0,0,30.0,14,376.0,10,7.0,29.0,37.0,11.161290322580646
2024-06,infrasettimanale,tarda_mattina,MET,56,0,0,912,0,912,56,318,535,0,0,-238.0,0,0,1223.0,19,985.0,7,-1.0,3.0,5.0,-0.2618261826182618
2024-06,infrasettimanale,tarda_mattina,NCL,0,0,0,2,0,2,0,0,2,0,0,-85.0,0,0,85.0,0,0.0,0,-42.5,-27.7,-25.85,-42.5
2024-06,infrasettimanale,tarda_mattina,REG,4984,0,368,29665,0,29665,4984,13446,11118,95,0,59473.0,0,0,28129.0,1965,87602.0,1122,1.0,7.0,12.0,2.012758900771626
2024-06,infrasettimanale,tarda_mattina,,1146,0,370,2054,0,2054,1146,532,374,182,0,35482.0,0,0,1330.0,792,36812.0,602,6.0,52.5,82.75,17.29142300194932
2024-06,weekend,mattina,EC,3,0,1,18,0,18,3,7,8,1,0,58.0,0,0,32.0,1,90.0,1,0.0,7.599999999999999,17.39999999999992,3.2222222222222223
2024-06,weekend,mattina,IC,95,0,22,203,0,203,95,57,49,12,0,2542.0,0,0,236.0,58,2778.0,43,3.0,36.0,69.0,12.64676616915423
2024-06,weekend,mattina,ICN,0,0,0,4,0,4,0,0,4,0,0,-74.0,0,0,74.0,0,0.0,0,-22.5,-7.699999999999996,-4.8500000000000085,-18.5
2024-06,weekend,mattina,MET,8,0,0,277,0,277,8,107,151,0,0,-123.0,0,0,318.0,3,195.0,1,-1.0,2.0,3.0,-0.4624060150375939
2024-06,weekend,mattina,REG,1129,0,95,8552,0,8552,1129,3689,3425,21,0,11557.0,0,0,8858.0,463,20415.0,265,0.0,6.0,10.0,1.4020380929273324
2024-06,weekend,mattina,,287,0,61,620,0,620,287,155,174,25,0,6902.0,0,0,784.0,186,7686.0,135,3.770967741935484,29.699032258064538,50.10112903225803,11.21058893163658
2024-06,weekend,notte,EC,0,0,0,1,0,1,0,0,1,0,0,-9.0,0,0,9.0,0,0.0,0,-9.0,-9.0,-9.0,-9.0
2024-06,weekend,notte,EN,6,0,2,9,0,9,6,2,1,2,0,512.0,0,0,2.0,3,514.0,3,8.0,204.00000000000003,246.0,56.888888888888886
2024-06,weekend,notte,IC,35,0,10,100,0,100,35,26,38,2,0,883.0,0,0,182.0,24,1065.0,21,2.0,29.00000000000001,48.29999999999998,8.919191919191919
2024-06,weekend,notte,ICN,4,0,1,16,0,16,4,4,8,1,0,43.0,0,0,85.0,3,128.0,2,-1.0,12.5,33.75,2.6875
