mese,categoria,in_ritardo,cancellate_tot,minuti_anticipo_tot,oltre_5,oltre_10,cancellate,minuti_ritardo_tot,in_orario,corse_osservate,info_mancante,minuti_netti_tot,parzialmente_cancellate,effettuate,oltre_30,oltre_15,in_anticipo,oltre_60,soppresse,ritardo_medio,ritardo_mediano,p95,p90
2024-06,EC,221,0,385.0,221,140,0,5168.0,117,447,0,4783.0,0,447,47,89,106,17,0,10.772522522522525,4.0,47.69999999999993,30.0
2024-06,EN,28,0,9.0,28,22,0,1805.0,4,35,0,1796.0,0,35,16,21,3,8,0,51.31428571428572,22.0,214.4999999999997,136.00000000000009
2024-06,EXP,7,0,81.0,7,5,0,502.0,2,16,0,421.0,0,16,3,4,7,2,0,26.3125,2.0,197.5,113.5
2024-06,IC,1110,0,2564.0,1110,748,0,29958.0,555,2241,0,27394.0,0,2241,293,548,567,109,0,12.273297491039427,4.0,59.0,36.90000000000009
2024-06,ICN,145,0,789.0,145,102,0,4019.0,86,345,0,3230.0,0,345,37,74,114,15,0,9.36231884057971,3.0,58.80000000000001,30.600000000000023
2024-06,IR,1,0,0.0,1,1,0,43.0,0,1,0,43.0,0,1,1,1,0,0,0,43.0,43.0,43.0,43.0
2024-06,MET,319,0,5496.0,319,143,0,6261.0,1913,4864,0,765.0,0,4864,11,73,2548,2,0,0.1600418410041841,-1.0,6.0,3.0
2024-06,NCL,1,0,288.0,1,1,0,19.0,1,14,0,-269.0,0,14,0,1,11,0,0,-20.692307692307697,-24.0,7.599999999999973,-0.1999999999999993
2024-06,REG,26864,0,153541.0,26864,10903,0,459397.0,68338,156633,0,305856.0,0,156633,2043,6233,59378,445,0,1.9786259541984728,1.0,12.0,7.0
2024-06,,2942,0,5932.0,2942,1968,0,78687.0,1491,5910,0,72755.0,0,5910,755,1422,1448,304,0,12.37213736361693,4.946531302876481,62.06830795262268,36.50006768189509
2024-07,DIR,1,0,1.0,1,1,0,38.0,0,2,0,37.0,0,2,1,1,1,0,0,18.5,18.5,36.05,34.1
2024-07,EC,346,0,519.0,346,244,0,8276.0,112,617,0,7757.0,0,617,88,174,155,24,0,12.65415986949429,6.0,54.0,38.80000000000007
2024-07,EN,40,0,20.0,40,32,0,1590.0,5,52,0,1570.0,0,52,16,26,7,9,0,30.192307692307693,15.0,107.9,68.6
2024-07,EXP,9,0,160.0,9,7,0,243.0,2,22,0,83.0,0,22,4,5,11,1,0,3.772727272727273,-0.5,47.24999999999999,32.800000000000004
2024-07,IC,1654,0,2761.0,1654,1178,0,49119.0,637,2914,0,46358.0,0,2914,483,893,604,175,0,16.01312607944732,6.0,64.0,46.0
2024-07,ICN,173,0,692.0,173,123,0,5434.0,90,384,0,4742.0,0,384,53,87,121,24,0,12.348958333333334,3.0,67.84999999999997,43.0
2024-07,IR,5,0,0.0,5,5,0,180.0,2,7,0,180.0,0,7,2,3,0,1,0,25.714285714285715,12.0,74.19999999999996,60.40000000000002
2024-07,MET,415,0,8260.0,415,152,0,9267.0,3104,7565,0,1007.0,0,7565,33,86,3856,9,0,0.1365423728813559,-1.0,5.0,3.0
2024-07,NCL,7,0,193.0,7,5,0,269.0,1,11,0,76.0,0,11,4,4,3,2,0,6.909090909090909,5.0,77.0,62.0
2024-07,REG,39232,0,205845.0,39232,16530,0,657127.0,93699,217105,0,451282.0,0,217105,2919,9464,81540,521,0,2.1041632668286154,1.0,13.0,8.0
2024-07,,9008,0,13102.0,9008,6366,0,243968.0,3614,15666,0,230866.0,0,15666,2426,4884,2984,840,0,14.793412789952582,6.0,63.0,41.0
2024-08,DIR,0,0,0.0,0,0,0,1.0,1,1,0,1.0,0,1,0,0,0,0,0,1.0,1.0,1.0,1.0
2024-08,EC,260,0,667.0,260,172,0,5991.0,135,587,0,5324.0,0,587,61,123,188,18,0,9.132075471698114,3.0,42.0,31.0
2024-08,EN,37,0,9.0,37,29,0,1830.0,10,51,0,1821.0,0,51,21,27,4,9,0,35.705882352941174,17.0,110.5,81.0
2024-08,EXP,22,0,167.0,22,11,0,458.0,10,51,0,291.0,0,51,3,6,19,1,0,5.705882352941177,3.0,27.5,18.0
2024-08,IC,1458,0,4724.0,1458,1029,0,41580.0,706,3096,0,36856.0,0,3096,380,756,925,161,0,11.931369375202332,4.0,61.0,37.0
2024-08,ICN,144,0,1423.0,144,97,0,3675.0,109,453,0,2252.0,0,453,35,74,200,12,0,4.97130242825607,0.0,45.0,25.0
2024-08,IR,7,0,5.0,7,5,0,226.0,1,10,0,221.0,0,10,2,4,2,2,0,22.1,10.5,74.24999999999999,67.5
2024-08,MET,291,0,9682.0,291,98,0,7000.0,3189,7774,0,-2682.0,0,7774,16,50,4228,1,0,-0.3479501816294759,-1.0,4.0,2.0
2024-08,NCL,10,0,159.0,10,9,0,693.0,0,16,0,534.0,0,16,7,8,6,6,0,33.375,17.0,128.5,97.5
2024-08,REG,26273,0,221850.0,26273,10570,0,470765.0,86543,199347,0,248915.0,0,199347,2025,6164,85884,432,0,1.2527176648213387,0.0,10.0,6.0
2024-08,,5902,0,22250.0,5902,3828,0,139358.0,3762,14038,0,117108.0,0,14038,1244,2680,4360,392,0,8.350541928123217,3.0,45.0,27.0
2024-09,EC,437,0,890.0,437,335,0,11275.0,150,834,0,10385.0,0,834,111,249,238,38,0,12.587878787878788,6.0,54.59999999999991,37.0
2024-09,EN,52,0,112.0,52,37,0,2140.0,6,71,0,2028.0,0,71,19,29,13,10,0,28.56338028169014,10.0,154.5,103.0
2024-09,EXP,14,0,76.0,14,11,0,491.0,10,31,0,415.0,0,31,4,8,7,2,0,13.387096774193548,4.0,64.0,47.0
2024-09,IC,1389,0,4387.0,1389,933,0,33730.0,731,2927,0,29343.0,0,2927,315,654,801,97,0,10.04553235193427,4.0,50.0,31.0
2024-09,ICN,138,0,1073.0,138,101,0,4447.0,95,410,0,3374.0,0,410,46,75,177,22,0,8.229268292682926,1.0,64.0,34.10000000000002
2024-09,IR,6,0,0.0,6,6,0,202.0,2,8,0,202.0,0,8,2,6,0,1,0,25.25,20.5,61.19999999999999,51.39999999999999
2024-09,MET,392,0,6737.0,392,114,0,7651.0,2963,6511,0,914.0,0,6511,14,55,3061,3,0,0.1424563591022443,0.0,5.0,3.0
2024-09,NCL,8,0,294.0,8,8,0,1149.0,0,17,0,855.0,0,17,8,8,8,8,0,53.4375,35.5,204.5,185.0
2024-09,REG,42170,0,194728.0,42170,17121,0,703672.0,93815,215735,0,508944.0,0,215735,3227,9936,77074,730,0,2.388746779061199,1.0,14.0,8.0
2024-09,,8278,0,11134.0,8278,5558,0,192996.0,3916,15252,0,181862.0,0,15252,1828,3976,3022,554,0,11.95202418506835,6.0,51.0,34.0
2024-10,DIR,1,0,0.0,1,1,0,11.0,0,1,0,11.0,0,1,0,0,0,0,0,11.0,11.0,11.0,11.0
2024-10,EC,502,0,1290.0,502,359,0,12532.0,174,995,0,11242.0,0,995,117,254,314,40,0,11.355555555555558,5.0,50.09999999999991,35.0
2024-10,EN,63,0,207.0,63,56,0,4041.0,16,101,0,3834.0,0,101,23,47,22,17,0,37.96039603960397,13.0,207.0,130.0
2024-10,EXP,15,0,67.0,15,10,0,559.0,9,29,0,492.0,0,29,6,10,5,5,0,16.96551724137931,5.0,75.39999999999999,70.6
2024-10,IC,1433,0,3855.0,1433,932,0,33745.0,757,2974,0,29890.0,0,2974,281,633,767,114,0,10.108217788298951,4.0,49.0,28.0
2024-10,ICN,105,0,1708.0,105,78,0,3538.0,88,411,0,1830.0,0,411,39,57,218,18,0,4.452554744525547,-1.0,53.0,28.0
2024-10,IR,1,0,0.0,1,0,0,5.0,0,1,0,5.0,0,1,0,0,0,0,0,5.0,5.0,5.0,5.0
2024-10,MET,550,0,6349.0,550,207,0,10802.0,3035,6788,0,4453.0,0,6788,31,115,3074,6,0,0.668719026880913,0.0,7.0,4.0
2024-10,NCL,2,0,166.0,2,2,0,47.0,2,9,0,-119.0,0,9,1,1,5,0,0,-13.22222222222222,-13.0,24.79999999999999,15.600000000000003
2024-10,REG,47657,0,200816.0,47657,18002,0,772248.0,101258,230693,0,571432.0,0,230693,3253,10060,78958,732,0,2.507677522128554,1.0,13.0,8.0
2024-10,,8372,0,10636.0,8372,5564,0,202098.0,4006,15452,0,191462.0,0,15452,1870,4002,3038,610,0,12.41969382459782,5.0,52.0,34.0
2024-11,DIR,1,0,0.0,1,0,0,6.0,0,1,0,6.0,0,1,0,0,0,0,0,6.0,6.0,6.0,6.0
2024-11,EC,437,0,1140.0,437,320,0,10308.0,169,900,0,9168.0,0,900,98,224,286,24,0,10.278026905829597,4.0,45.0,32.89999999999998
2024-11,EN,53,0,378.0,53,40,0,1970.0,14,100,0,1592.0,0,100,16,34,33,11,0,15.92,6.0,82.49999999999996,61.300000000000026
2024-11,EXP,10,0,35.0,10,3,0,345.0,10,26,0,310.0,0,26,2,3,6,1,0,11.923076923076923,3.0,40.5,12.0
2024-11,IC,1232,0,5278.0,1232,836,0,31130.0,698,2918,0,25852.0,0,2918,287,578,972,103,0,8.908339076498967,3.0,49.0,29.0
2024-11,ICN,102,0,1935.0,102,63,0,2877.0,71,386,0,942.0,0,386,30,48,213,16,0,2.4404145077720205,-2.0,47.0,21.5
2024-11,IR,13,0,4.0,13,10,0,494.0,0,14,0,490.0,0,14,5,7,1,2,0,35.0,12.5,125.0,100.00000000000009
2024-11,MET,571,0,5791.0,571,207,0,10019.0,2885,6466,0,4228.0,0,6466,20,105,2816,2,0,0.6741071428571429,0.0,7.0,4.0
2024-11,NCL,3,0,136.0,3,3,0,168.0,0,10,0,32.0,0,10,2,2,5,2,0,4.0,-4.5,78.55,76.1
2024-11,REG,40987,0,207244.0,40987,15984,0,682672.0,92773,216597,0,475428.0,0,216597,3126,9277,78451,707,0,2.240355118254944,1.0,13.0,8.0
2024-11,,7000,0,14386.0,7000,4544,0,168894.0,3846,14608,0,154508.0,0,14608,1588,3246,3684,504,0,10.63372333103923,4.0,50.0,31.0
2024-12,EC,393,0,1652.0,393,264,0,8481.0,236,1040,0,6829.0,0,1040,75,176,404,21,0,6.610842207163601,2.0,36.39999999999998,23.0
2024-12,EN,41,0,463.0,41,34,0,1461.0,17,96,0,998.0,0,96,16,29,36,7,0,10.617021276595745,3.5,71.39999999999998,54.0
2024-12,EXP,5,0,10.0,5,4,0,133.0,1,13,0,123.0,0,13,2,3,2,0,0,15.375,7.5,44.89999999999999,42.8
