mese,categoria,cod_stazione,in_ritardo,minuti_ritardo_tot,in_orario,cancellate,parzialmente_cancellate,oltre_5,cancellate_tot,oltre_15,minuti_netti_tot,soppresse,minuti_anticipo_tot,effettuate,oltre_60,in_anticipo,oltre_30,corse_osservate,info_mancante,oltre_10,ruolo,nome_stazione,p90,ritardo_mediano,p95,ritardo_medio
2024-06,EC,N_25B9CF10B7D2,42,1109.0,25,0,0,42,0,17,1086.0,0,23.0,74,5,7,9,74,0,28,nodo,BOLOGNA C.LE,30.999999999999982,7.0,52.9999999999999,14.675675675675672
2024-06,EC,N_26FAC2401D1E,47,926.0,21,0,0,47,0,20,850.0,0,76.0,90,1,22,11,90,0,32,nodo,VENEZIA SANTA LUCIA,27.099999999999984,4.5,39.19999999999997,9.340642529321771
2024-06,EC,S01003,5,84.0,0,0,0,5,0,3,73.0,0,11.0,8,0,3,0,8,0,4,nodo,DOMODOSSOLA,19.8,9.5,21.15,10.766666666666666
2024-06,EC,S01301,74,1324.0,52,0,0,74,0,24,1260.0,0,64.0,155,3,26,12,155,0,43,nodo,CHIASSO,22.5,5.0,32.0,8.42809946096331
2024-06,EC,S01700,89,1587.0,52,0,0,89,0,35,1512.0,0,75.0,173,2,29,15,173,0,52,nodo,MILANO CENTRALE,23.5,5.0,35.899999999999984,8.995339641293603
2024-06,EC,S02001,120,3117.0,63,0,0,120,0,48,2807.0,0,310.0,260,12,77,27,260,0,78,nodo,BRENNERO,27.25000000000002,3.75,43.825,10.796153846153846
2024-06,EC,S02026,18,449.0,4,0,0,18,0,8,366.0,0,83.0,40,1,18,4,40,0,10,nodo,BOLZANO,21.500000000000007,2.25,29.37500000000005,9.15
2024-06,EC,S02430,21,858.0,10,0,0,21,0,10,795.0,0,63.0,45,4,14,8,45,0,15,nodo,VERONA PORTA NUOVA,38.95000000000002,5.0,64.57499999999997,17.843873517786562
2024-06,EC,S02589,1,35.0,0,0,0,1,0,1,31.0,0,4.0,2,0,1,1,2,0,1,nodo,VENEZIA MESTRE,15.5,15.5,15.5,15.5
2024-06,EC,S03015,1,61.0,0,0,0,1,0,1,61.0,0,0.0,1,1,0,1,1,0,1,nodo,TARVISIO BOSCOVERDE,61.0,61.0,61.0,61.0
2024-06,EC,S05071,23,725.0,7,0,0,23,0,10,664.0,0,61.0,45,4,15,5,45,0,15,nodo,RIMINI,29.200000000000014,3.5,99.67499999999993,14.859683794466406
2024-06,EC,S06000,1,61.0,0,0,0,1,0,1,61.0,0,0.0,1,1,0,1,1,0,1,nodo,LA SPEZIA CENTRALE,61.0,61.0,61.0,61.0
2024-06,EN,N_25B9CF10B7D2,0,1.0,1,0,0,0,0,0,1.0,0,0.0,1,0,0,0,1,0,0,nodo,BOLOGNA C.LE,1.0,1.0,1.0,1.0
2024-06,EN,S01717,1,160.0,0,0,0,1,0,1,160.0,0,0.0,1,1,0,1,1,0,1,nodo,BRESCIA,160.0,160.0,160.0,160.0
2024-06,EN,S02581,20,804.0,3,0,0,20,0,14,795.0,0,9.0,26,3,3,9,26,0,14,nodo,PADOVA,56.90000000000002,14.25,81.20000000000005,27.691666666666663
