mese,categoria,cod_stazione,ruolo,parzialmente_cancellate,minuti_ritardo_tot,corse_osservate,minuti_anticipo_tot,soppresse,in_anticipo,cancellate,effettuate,oltre_60,in_ritardo,minuti_netti_tot,oltre_15,cancellate_tot,in_orario,info_mancante,oltre_30,oltre_5,oltre_10,nome_stazione,p90,p95,ritardo_mediano,ritardo_medio
2024-06,EC,N_25B9CF10B7D2,arrivo,0,668.0,37,7.0,0,3,0,37,3,26,661.0,11,0,8,0,6,26,19,BOLOGNA C.LE,41.79999999999998,64.19999999999993,10.0,17.864864864864863
2024-06,EC,N_25B9CF10B7D2,partenza,0,441.0,37,16.0,0,4,0,37,2,16,425.0,6,0,17,0,3,16,9,BOLOGNA C.LE,20.19999999999998,41.79999999999988,4.0,11.486486486486486
2024-06,EC,N_26FAC2401D1E,arrivo,0,342.0,37,18.0,0,8,0,37,1,15,324.0,6,0,14,0,4,15,11,VENEZIA SANTA LUCIA,23.39999999999997,38.79999999999996,3.0,8.756756756756756
2024-06,EC,N_26FAC2401D1E,partenza,0,584.0,53,58.0,0,14,0,53,0,32,526.0,14,0,7,0,7,32,21,VENEZIA SANTA LUCIA,30.800000000000004,39.59999999999998,6.0,9.924528301886792
2024-06,EC,S01003,arrivo,0,32.0,5,11.0,0,3,0,5,0,2,21.0,1,0,0,0,0,2,2,DOMODOSSOLA,17.200000000000003,19.6,-1.0,4.2
2024-06,EC,S01003,partenza,0,52.0,3,0.0,0,0,0,3,0,3,52.0,2,0,0,0,0,3,2,DOMODOSSOLA,22.399999999999995,22.7,20.0,17.333333333333332
2024-06,EC,S01301,arrivo,0,782.0,72,34.0,0,14,0,72,2,42,748.0,15,0,15,0,8,42,25,CHIASSO,30.0,43.0,6.0,10.535211267605634
2024-06,EC,S01301,partenza,0,542.0,83,30.0,0,12,0,83,1,32,512.0,9,0,37,0,4,32,18,CHIASSO,15.0,21.0,4.0,6.320987654320987
2024-06,EC,S01700,arrivo,0,833.0,99,30.0,0,12,0,99,0,47,803.0,20,0,38,0,8,47,27,MILANO CENTRALE,21.40000000000001,32.39999999999998,4.0,8.278350515463918
2024-06,EC,S01700,partenza,0,754.0,74,45.0,0,17,0,74,2,42,709.0,15,0,14,0,7,42,25,MILANO CENTRALE,25.599999999999994,39.39999999999999,6.0,9.712328767123289
2024-06,EC,S02001,arrivo,0,1120.0,130,221.0,0,49,0,130,4,47,899.0,17,0,34,0,6,47,29,BRENNERO,16.10000000000001,27.099999999999994,1.5,6.915384615384616
2024-06,EC,S02001,partenza,0,1997.0,130,89.0,0,28,0,130,8,73,1908.0,31,0,29,0,21,73,49,BRENNERO,38.400000000000034,60.55,6.0,14.676923076923076
2024-06,EC,S02026,arrivo,0,431.0,20,2.0,0,1,0,20,1,17,429.0,7,0,2,0,4,17,9,BOLZANO,42.80000000000001,56.05000000000008,8.5,21.45
2024-06,EC,S02026,partenza,0,18.0,20,81.0,0,17,0,20,0,1,-63.0,1,0,2,0,0,1,1,BOLZANO,0.2000000000000028,2.70000000000001,-4.0,-3.15
2024-06,EC,S02430,arrivo,0,572.0,22,4.0,0,3,0,22,3,16,568.0,7,0,3,0,6,16,11,VERONA PORTA NUOVA,58.30000000000004,83.74999999999999,10.0,25.818181818181817
2024-06,EC,S02430,partenza,0,286.0,23,59.0,0,11,0,23,1,5,227.0,3,0,7,0,2,5,4,VERONA PORTA NUOVA,19.60000000000001,45.39999999999996,0.0,9.869565217391305
2024-06,EC,S02589,arrivo,0,35.0,1,0.0,0,0,0,1,0,1,35.0,1,0,0,0,1,1,1,VENEZIA MESTRE,35.0,35.0,35.0,35.0
2024-06,EC,S02589,partenza,0,0.0,1,4.0,0,1,0,1,0,0,-4.0,0,0,0,0,0,0,0,VENEZIA MESTRE,-4.0,-4.0,-4.0,-4.0
2024-06,EC,S03015,arrivo,0,61.0,1,0.0,0,0,0,1,1,1,61.0,1,0,0,0,1,1,1,TARVISIO BOSCOVERDE,61.0,61.0,61.0,61.0
2024-06,EC,S05071,arrivo,0,292.0,23,58.0,0,13,0,23,2,7,234.0,3,0,3,0,3,7,5,RIMINI,33.000000000000014,81.19999999999993,-2.0,10.173913043478262
2024-06,EC,S05071,partenza,0,433.0,22,3.0,0,2,0,22,2,16,430.0,7,0,4,0,2,16,10,RIMINI,25.400000000000013,118.14999999999992,9.0,19.545454545454547
2024-06,EC,S06000,partenza,0,61.0,1,0.0,0,0,0,1,1,1,61.0,1,0,0,0,1,1,1,LA SPEZIA CENTRALE,61.0,61.0,61.0,61.0
